,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
3157,Massachusetts,US,2021-02-26 05:30:48,42.2302,-71.5301,2108,33,33,65275.0,25.0,8356.80448742641,15894675.0,,2.7739920450422137,84000025.0,USA,230608.1694850188,
3158,Michigan,US,2021-02-26 05:30:48,43.3266,-84.5361,1598,47,47,97352.0,26.0,6437.140333540372,10211286.0,,2.556667931830485,84000026.0,USA,102247.24355220069,
3159,Minnesota,US,2021-02-26 05:30:48,45.6945,-93.9002,986,7,7,6815.0,27.0,8543.660295565385,6831489.0,,1.3527564644034942,84000027.0,USA,121133.59524167536,
3160,Mississippi,US,2021-02-26 05:30:48,32.7416,-89.6787,920,8,8,12761.0,28.0,9838.586710544398,1728997.0,,2.2584534050974856,84000028.0,USA,58095.108813436425,
3161,Missouri,US,2021-02-26 05:30:48,38.4561,-92.2884,954,32,32,,29.0,9145.21522696478,4445341.0,,1.470742818659459,84000029.0,USA,72430.03095107593,
3162,Montana,US,2021-02-26 05:30:48,46.9219,-110.4544,203,2,2,1917.0,30.0,9304.551553269248,1067508.0,,1.3575343154507518,84000030.0,USA,99881.17270377943,
3163,Nebraska,US,2021-02-26 05:30:48,41.1254,-98.2681,381,9,9,44347.0,31.0,10347.5068341322,2347453.0,,1.0306600120901466,84000031.0,USA,121352.527491615,
3164,Nevada,US,2021-02-26 05:30:48,38.3135,-117.0554,571,14,14,,32.0,9500.492832181228,2696649.0,,1.6857465058264702,84000032.0,USA,87549.10465573822,
3165,New Hampshire,US,2021-02-26 05:30:48,43.4525,-71.5639,310,6,6,2858.0,33.0,5484.1065491122745,1436668.0,,1.559650252118871,84000033.0,USA,105659.80564987707,
3166,New Jersey,US,2021-02-26 05:30:48,40.2989,-74.521,3577,70,70,,34.0,8769.942998292088,10535018.0,,2.9715146932524394,84000034.0,USA,118608.33870925974,
3167,New Mexico,US,2021-02-26 05:30:48,34.8405,-106.2485,299,13,13,40816.0,35.0,8778.970531216422,2652210.0,,1.9942416340721425,84000035.0,USA,126486.70921663141,
3168,New York,US,2021-02-26 05:30:48,42.1657,-74.9481,8893,105,105,,36.0,8327.133525836221,37256699.0,,2.905383215508876,84000036.0,USA,191516.08797998482,
3169,North Carolina,US,2021-02-26 05:30:48,35.6301,-79.8064,3351,63,63,,37.0,8132.8582036528305,10199355.0,,1.3056562807377892,84000037.0,USA,97247.07582433552,
3170,North Dakota,US,2021-02-26 05:30:48,47.5289,-99.78399999999999,90,1,1,676.0,38.0,13072.558400760045,1403080.0,,1.4765962999769124,84000038.0,USA,184116.25300828548,
3171,Northern Mariana Islands,US,2021-02-26 05:30:48,15.0979,145.6739,0,0,0,112.0,69.0,259.3210503409256,17572.0,,1.3986013986013983,580.0,MNP,31865.660815319887,
3172,Ohio,US,2021-02-26 05:30:48,40.3888,-82.7649,2409,35,35,42772.0,39.0,8233.345595469284,9894516.0,,1.933387641780375,84000039.0,USA,84647.37233833231,
3173,Oklahoma,US,2021-02-26 05:30:48,35.5653,-96.9289,1153,38,38,14579.0,40.0,10694.821872588907,3456445.0,,1.0165622614847671,84000040.0,USA,87350.77916921808,
3174,Oregon,US,2021-02-26 05:30:48,44.571999999999996,-122.0709,492,10,10,,41.0,3664.3821082253353,3526219.0,,1.4260387955018958,84000041.0,USA,83604.52536514249,
3175,Pennsylvania,US,2021-02-26 05:30:48,40.5908,-77.2098,2454,80,80,76356.0,42.0,7271.604435841961,10244968.0,,2.5634056997991213,84000042.0,USA,80026.37715123799,
3176,Puerto Rico,US,2021-02-26 05:30:48,18.2208,-66.5901,100,9,9,7380.0,72.0,3119.2406035143003,1693872.0,,2.023710336381614,630.0,PRI,53038.01804430856,
3177,Rhode Island,US,2021-02-26 05:30:48,41.6809,-71.5118,467,3,3,,44.0,11817.029322393406,2946696.0,,1.9986420098254585,84000044.0,USA,278157.8706408864,
3178,South Carolina,US,2021-02-26 05:30:48,33.8569,-80.945,2502,45,45,272310.0,45.0,9935.41299827491,4932992.0,,1.650486955229833,84000045.0,USA,95810.17706557404,
3179,South Dakota,US,2021-02-26 05:30:48,44.2998,-99.4388,156,8,8,1948.0,46.0,12656.17599549657,420565.0,,1.6719659890679146,84000046.0,USA,47539.786516612614,
3180,Tennessee,US,2021-02-26 05:30:48,35.7478,-86.6923,1994,55,55,14419.0,47.0,11288.920153447549,6859550.0,,1.4684670661789505,84000047.0,USA,100444.79756995502,
3181,Texas,US,2021-02-26 05:30:48,31.0545,-97.5635,7814,254,254,209286.0,48.0,9079.448215420663,19357913.0,,1.6365539722851286,84000048.0,USA,66760.90648875266,
3182,Utah,US,2021-02-26 05:30:48,40.15,-111.8624,832,11,11,18561.0,49.0,11523.326256925387,2829905.0,,0.5115947952673421,84000049.0,USA,88270.18320264957,
3183,Vermont,US,2021-02-26 05:30:48,44.0459,-72.7107,72,2,2,2502.0,50.0,2378.2470524320142,1033554.0,,1.3679245283018868,84000050.0,USA,165636.57372165215,
3184,Virgin Islands,US,2021-02-26 05:30:48,18.3358,-64.8963,13,0,0,114.0,78.0,2457.396427639184,47273.0,,0.9484066767830044,850.0,VIR,44069.99291494201,
3185,Virginia,US,2021-02-26 05:30:48,37.7693,-78.17,2036,156,156,,51.0,6689.481916682512,5830467.0,,1.3946148915377368,84000051.0,USA,68308.28916202986,
3186,Washington,US,2021-02-26 05:30:48,47.4009,-121.4905,1088,30,30,,53.0,4434.113519388913,5167513.0,,1.4636327827681082,84000053.0,USA,67860.6120926453,
3187,West Virginia,US,2021-02-26 05:30:48,38.4912,-80.9545,431,5,5,8020.0,54.0,7299.233824011088,2173485.0,,1.7505905376376965,84000054.0,USA,121278.27683778171,
3188,Wisconsin,US,2021-02-26 05:30:48,44.2685,-89.6165,965,58,58,61063.0,55.0,10566.457258253164,6825405.0,,1.1368198626518753,84000055.0,USA,117225.97456665027,
3189,Wyoming,US,2021-02-26 05:30:48,42.756,-107.3025,214,0,0,652.0,56.0,9365.210735383813,633626.0,,1.2379616988303015,84000056.0,USA,109480.11175636144,
3190,Alabama,US,2021-02-27 05:30:48,32.3182,-86.9023,739,38,38,196850.0,1.0,10031.214404514616,4025721.0,,2.0065101281084234,84000001.0,USA,82104.20369616893,
3191,Alaska,US,2021-02-27 05:30:48,61.3707,-152.4044,112,0,0,,2.0,7968.204279982776,1671043.0,,0.4975039028323412,84000002.0,USA,228426.5492895174,
3192,American Samoa,US,2021-02-27 05:30:48,-14.270999999999999,-170.132,0,0,0,,60.0,0.0,2140.0,,,16.0,ASM,3846.084721698028,
3193,Arizona,US,2021-02-27 05:30:48,33.7298,-111.4312,1621,83,83,,4.0,11190.543608166108,7596552.0,,1.9516824467667164,84000004.0,USA,51383.60235739348,
3194,Arkansas,US,2021-02-27 05:30:48,34.9697,-92.3731,516,10,10,4506.0,5.0,10558.604866320013,2634339.0,,1.6969099730728916,84000005.0,USA,87293.24369640971,
3195,California,US,2021-02-27 05:30:48,36.1162,-119.6816,6077,436,436,,6.0,9166.550816439765,47995576.0,,1.4240836597726945,84000006.0,USA,121470.19923429767,
