,Province_State,Confirmed,Deaths,Recovered,Lat,Long_
2788,Arkansas,268,13,13,34.9697,-92.3731
2789,California,7704,468,468,36.1162,-119.6816
2790,Colorado,1280,14,14,39.0598,-105.3111
2791,Connecticut,1198,27,27,41.5978,-72.7554
2792,Delaware,329,0,0,39.3185,-75.5071
2793,Diamond Princess,0,0,0,,
2794,District of Columbia,160,1,1,38.8974,-77.0268
2795,Florida,6683,218,218,27.7663,-81.6868
2796,Georgia,3679,207,207,33.0406,-83.6431
2797,Grand Princess,0,0,0,,
2798,Guam,10,0,0,13.4443,144.7937
2799,Hawaii,57,2,2,21.0943,-157.4983
2800,Idaho,314,0,0,44.2405,-114.4788
2801,Illinois,2218,71,71,40.3495,-88.9861
2802,Indiana,1035,44,44,39.8494,-86.2583
2803,Iowa,242,15,15,42.0115,-93.2105
2804,Kansas,2091,91,91,38.5266,-96.7265
2805,Kentucky,1958,28,28,37.6681,-84.6701
2806,Louisiana,441,34,34,31.1695,-91.8678
2807,Maine,134,1,1,44.6939,-69.3819
2808,Maryland,1008,16,16,39.0639,-76.8021
2809,Massachusetts,1818,40,40,42.2302,-71.5301
2810,Michigan,1473,23,23,43.3266,-84.5361
2811,Minnesota,995,8,8,45.6945,-93.9002
2812,Mississippi,360,3,3,32.7416,-89.6787
2813,Missouri,923,51,51,38.4561,-92.2884
2814,Montana,277,2,2,46.9219,-110.4544
2815,Nebraska,400,18,18,41.1254,-98.2681
2816,Nevada,420,26,26,38.3135,-117.0554
2817,New Hampshire,368,2,2,43.4525,-71.5639
2818,New Jersey,3047,63,63,40.2989,-74.521
2819,New Mexico,311,19,19,34.8405,-106.2485
2820,New York,8573,158,158,42.1657,-74.9481
2821,North Carolina,3227,54,54,35.6301,-79.8064
2822,North Dakota,119,0,0,47.5289,-99.78399999999999
2823,Northern Mariana Islands,0,0,0,15.0979,145.6739
2824,Ohio,2306,45,45,40.3888,-82.7649
2825,Oklahoma,877,20,20,35.5653,-96.9289
2826,Oregon,477,0,0,44.571999999999996,-122.0709
2827,Pennsylvania,2797,76,76,40.5908,-77.2098
2828,Puerto Rico,118,7,7,18.2208,-66.5901
2829,Rhode Island,286,6,6,41.6809,-71.5118
2830,South Carolina,2893,58,58,33.8569,-80.945
2831,South Dakota,147,6,6,44.2998,-99.4388
2832,Tennessee,1313,7,7,35.7478,-86.6923
2833,Texas,5601,202,202,31.0545,-97.5635
2834,Utah,857,21,21,40.15,-111.8624
2835,Vermont,102,0,0,44.0459,-72.7107
2836,Virgin Islands,17,0,0,18.3358,-64.8963
2837,Virginia,2034,8,8,37.7693,-78.17
2838,Washington,897,19,19,47.4009,-121.4905
2839,West Virginia,295,12,12,38.4912,-80.9545
2840,Wisconsin,919,36,36,44.2685,-89.6165
2841,Wyoming,152,0,0,42.756,-107.3025
2842,Alabama,774,17,17,32.3182,-86.9023
2843,Alaska,2,0,0,61.3707,-152.4044
2844,American Samoa,0,0,0,-14.270999999999999,-170.132
2845,Arizona,2047,59,59,33.7298,-111.4312
2846,Arkansas,517,12,12,34.9697,-92.3731
